Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,IDFANTASYPOSITION,IDFANTASYPLAYER,CREATED,CREATED_BY,UPDATED,UPDATED_BY
165,1,3,1,11,12,2022-11-06T16:53:14,JORTRI,2022-11-06T16:53:14,JORTRI
166,1,3,1,12,11,2022-11-06T16:53:14,JORTRI,2022-11-06T16:53:14,JORTRI
167,1,3,1,13,14,2022-11-06T16:53:14,JORTRI,2022-11-06T16:53:14,JORTRI
168,1,3,1,14,13,2022-11-06T16:53:14,JORTRI,2022-11-06T16:53:14,JORTRI
190,1,3,5,8,21,2022-11-06T16:56:33,JORTRI,2022-11-06T16:56:33,JORTRI
191,1,3,5,9,5,2022-11-06T16:56:33,JORTRI,2022-11-06T16:56:33,JORTRI
192,1,3,5,10,9,2022-11-06T16:56:33,JORTRI,2022-11-06T16:56:33,JORTRI
193,1,3,5,11,12,2022-11-06T16:56:33,JORTRI,2022-11-06T16:56:33,JORTRI
194,1,3,5,12,11,2022-11-06T16:56:33,JORTRI,2022-11-06T16:56:33,JORTRI
195,1,3,5,13,14,2022-11-06T16:56:33,JORTRI,2022-11-06T16:56:33,JORTRI
196,1,3,5,14,13,2022-11-06T16:56:33,JORTRI,2022-11-06T16:56:33,JORTRI
197,1,3,6,8,21,2022-11-06T16:57:21,JORTRI,2022-11-06T16:57:21,JORTRI
198,1,3,6,9,9,2022-11-06T16:57:21,JORTRI,2022-11-06T16:57:21,JORTRI
199,1,3,6,10,5,2022-11-06T16:57:21,JORTRI,2022-11-06T16:57:21,JORTRI
200,1,3,6,11,12,2022-11-06T16:57:21,JORTRI,2022-11-06T16:57:21,JORTRI
201,1,3,6,12,11,2022-11-06T16:57:21,JORTRI,2022-11-06T16:57:21,JORTRI
202,1,3,6,13,15,2022-11-06T16:57:21,JORTRI,2022-11-06T16:57:21,JORTRI
203,1,3,6,14,8,2022-11-06T16:57:21,JORTRI,2022-11-06T16:57:21,JORTRI
267,1,4,6,8,21,2022-11-06T17:24:09,JORTRI,2022-11-06T17:24:09,JORTRI
268,1,4,6,9,8,2022-11-06T17:24:09,JORTRI,2022-11-06T17:24:09,JORTRI
269,1,4,6,10,5,2022-11-06T17:24:09,JORTRI,2022-11-06T17:24:09,JORTRI
270,1,4,6,11,11,2022-11-06T17:24:09,JORTRI,2022-11-06T17:24:09,JORTRI
271,1,4,6,12,13,2022-11-06T17:24:09,JORTRI,2022-11-06T17:24:09,JORTRI
272,1,4,6,13,15,2022-11-06T17:24:09,JORTRI,2022-11-06T17:24:09,JORTRI
273,1,4,6,14,9,2022-11-06T17:24:09,JORTRI,2022-11-06T17:24:09,JORTRI
295,1,4,10,8,21,2022-11-06T17:30:26,JORTRI,2022-11-06T17:30:26,JORTRI
296,1,4,10,9,9,2022-11-06T17:30:26,JORTRI,2022-11-06T17:30:26,JORTRI
297,1,4,10,10,5,2022-11-06T17:30:26,JORTRI,2022-11-06T17:30:26,JORTRI
298,1,4,10,11,12,2022-11-06T17:30:26,JORTRI,2022-11-06T17:30:26,JORTRI
299,1,4,10,12,11,2022-11-06T17:30:26,JORTRI,2022-11-06T17:30:26,JORTRI
300,1,4,10,13,14,2022-11-06T17:30:26,JORTRI,2022-11-06T17:30:26,JORTRI
301,1,4,10,14,8,2022-11-06T17:30:26,JORTRI,2022-11-06T17:30:26,JORTRI
303,1,5,1,9,5,2022-11-06T17:37:37,JORTRI,2022-11-06T17:37:37,JORTRI
304,1,5,1,10,7,2022-11-06T17:37:37,JORTRI,2022-11-06T17:37:37,JORTRI
305,1,5,1,11,12,2022-11-06T17:37:37,JORTRI,2022-11-06T17:37:37,JORTRI
306,1,5,1,12,11,2022-11-06T17:37:37,JORTRI,2022-11-06T17:37:37,JORTRI
307,1,5,1,13,15,2022-11-06T17:37:37,JORTRI,2022-11-06T17:37:37,JORTRI
308,1,5,1,14,13,2022-11-06T17:37:37,JORTRI,2022-11-06T17:37:37,JORTRI
351,1,5,8,8,21,2022-11-06T17:43:01,JORTRI,2022-11-06T17:43:01,JORTRI
352,1,5,8,9,5,2022-11-06T17:43:01,JORTRI,2022-11-06T17:43:01,JORTRI
353,1,5,8,10,9,2022-11-06T17:43:01,JORTRI,2022-11-06T17:43:01,JORTRI
354,1,5,8,11,12,2022-11-06T17:43:01,JORTRI,2022-11-06T17:43:01,JORTRI
355,1,5,8,12,11,2022-11-06T17:43:01,JORTRI,2022-11-06T17:43:01,JORTRI
356,1,5,8,13,14,2022-11-06T17:43:01,JORTRI,2022-11-06T17:43:01,JORTRI
357,1,5,8,14,27,2022-11-06T00:00:00,JORTRI,2022-11-06T17:43:43,JORTRI
358,1,5,9,8,21,2022-11-06T17:44:26,JORTRI,2022-11-06T17:44:26,JORTRI
359,1,5,9,9,5,2022-11-06T17:44:26,JORTRI,2022-11-06T17:44:26,JORTRI
360,1,5,9,10,7,2022-11-06T17:44:26,JORTRI,2022-11-06T17:44:26,JORTRI
361,1,5,9,11,12,2022-11-06T17:44:26,JORTRI,2022-11-06T17:44:26,JORTRI
362,1,5,9,12,11,2022-11-06T17:44:26,JORTRI,2022-11-06T17:44:26,JORTRI
363,1,5,9,13,14,2022-11-06T17:44:26,JORTRI,2022-11-06T17:44:26,JORTRI
364,1,5,9,14,13,2022-11-06T17:44:26,JORTRI,2022-11-06T17:44:26,JORTRI
456,1,7,2,8,1,2022-11-06T18:06:12,JORTRI,2022-11-06T18:06:12,JORTRI
457,1,7,2,9,10,2022-11-06T18:06:12,JORTRI,2022-11-06T18:06:12,JORTRI
458,1,7,2,10,7,2022-11-06T18:06:12,JORTRI,2022-11-06T18:06:12,JORTRI
459,1,7,2,11,11,2022-11-06T18:06:12,JORTRI,2022-11-06T18:06:12,JORTRI
460,1,7,2,12,13,2022-11-06T18:06:12,JORTRI,2022-11-06T18:06:12,JORTRI
461,1,7,2,13,14,2022-11-06T18:06:12,JORTRI,2022-11-06T18:06:12,JORTRI
462,1,7,2,14,5,2022-11-06T18:06:12,JORTRI,2022-11-06T18:06:12,JORTRI
477,1,7,5,8,1,2022-11-06T18:08:15,JORTRI,2022-11-06T18:08:15,JORTRI
478,1,7,5,9,10,2022-11-06T18:08:15,JORTRI,2022-11-06T18:08:15,JORTRI
479,1,7,5,10,5,2022-11-06T18:08:15,JORTRI,2022-11-06T18:08:15,JORTRI
480,1,7,5,11,11,2022-11-06T18:08:15,JORTRI,2022-11-06T18:08:15,JORTRI
481,1,7,5,12,13,2022-11-06T18:08:15,JORTRI,2022-11-06T18:08:15,JORTRI
482,1,7,5,13,14,2022-11-06T18:08:15,JORTRI,2022-11-06T18:08:15,JORTRI
483,1,7,5,14,7,2022-11-06T18:08:15,JORTRI,2022-11-06T18:08:15,JORTRI
505,1,7,9,8,1,2022-11-06T18:11:37,JORTRI,2022-11-06T18:11:37,JORTRI
506,1,7,9,9,10,2022-11-06T18:11:37,JORTRI,2022-11-06T18:11:37,JORTRI
507,1,7,9,10,7,2022-11-06T18:11:37,JORTRI,2022-11-06T18:11:37,JORTRI
508,1,7,9,11,11,2022-11-06T18:11:37,JORTRI,2022-11-06T18:11:37,JORTRI
509,1,7,9,12,13,2022-11-06T18:11:37,JORTRI,2022-11-06T18:11:37,JORTRI
510,1,7,9,13,14,2022-11-06T18:11:37,JORTRI,2022-11-06T18:11:37,JORTRI
511,1,7,9,14,5,2022-11-06T18:11:37,JORTRI,2022-11-06T18:11:37,JORTRI
512,1,7,10,8,1,2022-11-06T18:12:22,JORTRI,2022-11-06T18:12:22,JORTRI
513,1,7,10,9,10,2022-11-06T18:12:22,JORTRI,2022-11-06T18:12:22,JORTRI
514,1,7,10,10,5,2022-11-06T18:12:22,JORTRI,2022-11-06T18:12:22,JORTRI
515,1,7,10,11,11,2022-11-06T18:12:22,JORTRI,2022-11-06T18:12:22,JORTRI
516,1,7,10,12,13,2022-11-06T18:12:22,JORTRI,2022-11-06T18:12:22,JORTRI
118,1,2,5,8,21,2022-11-06T12:44:25,JORTRI,2022-11-06T12:44:25,JORTRI
21,1,1,1,8,21,2022-11-06T10:54:50,JORTRI,2022-11-06T10:54:50,JORTRI
23,1,1,1,10,9,2022-11-06T10:56:10,JORTRI,2022-11-06T10:56:10,JORTRI
24,1,1,1,11,12,2022-11-06T10:56:10,JORTRI,2022-11-06T10:56:10,JORTRI
91,1,2,1,8,21,2022-11-06T12:34:32,JORTRI,2022-11-06T12:34:32,JORTRI
92,1,2,1,9,5,2022-11-06T12:36:24,JORTRI,2022-11-06T12:36:24,JORTRI
93,1,2,1,10,9,2022-11-06T12:36:24,JORTRI,2022-11-06T12:36:24,JORTRI
94,1,2,1,11,12,2022-11-06T12:36:24,JORTRI,2022-11-06T12:36:24,JORTRI
