Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,WINPOINT,CREATED,CREATED_BY,UPDATED,UPDATED_BY
127,1,10,5,10,2022-11-15T07:06:58,JORTRI,2022-11-15T07:06:58,JORTRI
62,1,3,10,0,2022-11-06T17:26:51,JORTRI,2022-11-06T17:26:51,JORTRI
63,1,4,1,10,2022-11-06T17:33:54,JORTRI,2022-11-06T17:33:54,JORTRI
86,1,6,3,10,2022-11-06T18:01:49,JORTRI,2022-11-06T18:01:49,JORTRI
89,1,6,6,10,2022-11-06T18:02:06,JORTRI,2022-11-06T18:02:06,JORTRI
92,1,6,9,10,2022-11-06T18:02:18,JORTRI,2022-11-06T18:02:18,JORTRI
117,1,9,2,5,2022-11-07T09:45:00,JORTRI,2022-11-07T09:45:00,JORTRI
121,1,9,7,5,2022-11-07T09:45:24,JORTRI,2022-11-07T09:45:24,JORTRI
128,1,10,7,5,2022-11-15T07:07:37,JORTRI,2022-11-15T07:07:37,JORTRI
131,1,10,10,0,2022-11-15T07:08:47,JORTRI,2022-11-15T07:08:47,JORTRI
166,1,12,1,5,2022-11-29T08:43:55,JORTRI,2022-11-29T08:43:55,JORTRI
169,1,12,4,5,2022-11-29T08:44:19,JORTRI,2022-11-29T08:44:19,JORTRI
172,1,12,7,5,2022-11-29T08:44:46,JORTRI,2022-11-29T08:44:46,JORTRI
186,1,13,7,10,2022-12-05T13:11:05,JORTRI,2022-12-05T13:11:05,JORTRI
192,1,13,4,0,2022-12-05T13:14:01,JORTRI,2022-12-05T13:14:01,JORTRI
265,1,17,8,5,2023-01-06T10:15:30,JORTRI,2023-01-06T10:15:30,JORTRI
266,1,17,1,0,2023-01-06T10:15:49,JORTRI,2023-01-06T10:15:49,JORTRI
269,1,17,5,0,2023-01-06T10:16:01,JORTRI,2023-01-06T10:16:01,JORTRI
272,1,17,9,0,2023-01-06T10:16:13,JORTRI,2023-01-06T10:16:13,JORTRI
